Rank,First Name,Last Name,Team,Overall,Medal
186,Behruz,Azam,UZB,229.08,P
187,Shashwat,Chandra,IND,229,P
188,Daniel Zhenghao,Choo,SGP,228.3,P
189,Tanapoom,Laoaroon,THA,228,P
190,Lautaro,Lasorsa,ARG,227.8,P
191,Håvard Rognebakke,Krogstie,NOR,225.62,P
192,Miko,Surara,PHL,225,P
193,Kel Zin,Tan,MYS,224,P
194,Diego Emir,García Moreno,MEX,223.08,P
195,Tiago,Domingos,BRA,220.34,P
196,Maayan,Levy,NZL,219.53,P
197,Dimitrios,Rontogiannis,GRC,219,P
197,Roope,Salmi,FIN,219,P
199,Evangelos,Pipis,GRC,216.98,P
200,Blagojche,Pavleski,MKD,216,P
201,Andi,Qu,ZAF,215.09,P
202,Aziz,Huseynov,AZE2,214,P
203,Vladimirs,Ščigoļevs,LVA,212.92,P
204,Tugsgerel,Lkhagvasuren,MNG,212.58,P
205,Mauricio,Cari,CHL,212.03,P
206,Ming Yean,Lim,MYS,211.59,P
207,Asadullo,Ganiev,UZB,210.98,P
208,Steven,Reyes,PHL,210.64,P
209,Dion Stephan,Ong,PHL,210.11,P
210,Áron,Noszály,HUN,209.63,P
211,Tuukka,Yildirim,FIN,206.53,P
212,Brayan,Duran Medina,CUB,205.07,P
213,Mamnoon,Siam,BGD,204.89,P
214,Charalampos,Georgiou,CYP,204.6,P
215,Oscar,Sierra,COL,204.08,P
216,Zhiyi,Luo,BEL,203.68,P
217,Justas,Želnia,LTU,202,P
218,Claudiu,Babin,MDA,201.32,P
219,Admir,Zatega,BIH,200.33,P
220,Christopher,Burckhardt,CHE,200,P
220,Caolan,Fleming,IRL,200,P
222,Euan,Ong,GBR,198.49,P
223,José Ángel,Cázares Torres,MEX,198,P
224,Izan,Beltrán Ferreiro,ESP,197.44,P
225,Mikołaj,Stępiński,POL,197,P
226,Anouar,Achghaf,MAR,195.71,P
227,Anay,Karnik,IND,195,P
228,Luis,Bahners,DEU,194.33,P
229,Pedro,Lucas Lanaro Sponchiado,BRA,192,P
230,Jaagup,Tamme,EST,188.58,P
231,Angelos,Assos,CYP,186,P
232,Mirbek,Bakirov,KGZ,185,P
233,David,Nassauer,PRT,182.35,P
234,Shenal Santhush,Kotuwewatta,LKA,181,P
235,Hasan,Khadra,SYR,179.34,P
236,Turbat,Enkhbat,MNG,177,P
237,Hazem,Issa,EGY,175.91,P
238,Cesar,Diaz,COL,174.93,P
239,Omar,Besbes,TUN,173.33,P
240,Fan Meng,Hong,MAC,173.03,P
241,Gijs,Pennings,NLD,170.95,P
242,Robin,Gugel,AUT,170.76,P
243,Amin,Jalilov,AZE2,170.35,P
244,Ivan,Solovyev,NZL,170,P
245,José Rodrigo,Santamaría,SLV,169.62,P
246,Kai Seng,Ho,MAC,166.92,P
247,Davit,Khvedelidze,GEO,166,P
248,Farhad,Azimov,AZE,164.01,P
249,Annejan,van den Dool,NLD,164,P
250,Mahmoud,Adel,EGY,162.07,P
251,Eik,Hvattum Røgeberg,NOR,158.47,P
252,Diego,Salas,CHL,158,P
253,Ignacio,Muñoz,CHL,155,P
254,Rafik,Hachana,TUN,154,P
254,Kosta,Vukicevic,MNE,154,P
